Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-0.196871,524.933,11.8896,60.2469,3.8748
-1.78485,589.577,12.5432,64.3195,3.6695
-2.52903,545.245,11.2618,58.0765,3.57869
-1.86427,564.241,11.9665,61.3988,3.65965
-1.58684,570.538,12.2338,62.639,3.69423
-4.83423,551.35,10.3799,54.4933,3.31696
-0.168475,527.221,11.9548,60.5641,3.87862
0.649545,562.629,13.1722,66.3302,3.99114
1.36456,500.625,12.0511,60.3679,4.09347
1.32561,539.312,12.9628,64.9533,4.0878
-4.95792,551.918,10.3386,54.3292,3.30369
1.59261,575.836,13.9846,69.9377,4.12693
0.786978,533.584,12.5593,63.18,4.01051
0.447237,566.63,13.1616,66.3754,3.96287
-2.7212,588.392,12.0602,62.285,3.55576
1.01519,535.835,12.7248,63.9057,4.04299
-3.22596,598.333,12.0189,62.3125,3.49654
0.0937357,596.109,13.6564,69.0503,3.91417
-2.33515,510.688,10.6299,54.7364,3.60203
1.83577,518.567,12.7129,63.4656,4.16305
-0.249253,582.496,13.1664,66.7422,3.86776
-1.73545,557.188,11.8774,60.8826,3.67565
-0.590291,533.396,11.8961,60.4564,3.8224
-3.73664,593.679,11.6834,60.8127,3.43805
1.66516,531.929,12.9547,64.7528,4.13766
-3.40582,532.855,10.6267,55.1711,3.47578
-2.14463,589.717,12.3682,63.5955,3.62519
-2.23175,570.091,11.9153,61.307,3.61457
-1.08296,548.627,12.0006,61.2127,3.75824
-1.9855,527.569,11.135,57.1853,3.64469
1.19302,514.863,12.3116,61.75,4.06857
-4.2778,511.716,9.85313,51.5026,3.37757
-3.83927,536.247,10.5096,54.747,3.42646
1.98825,591.218,14.5797,72.7047,4.18594
-4.25066,598.068,11.5285,60.2468,3.38057
-2.24488,586.083,12.2431,63.0002,3.61298
-4.41615,599.619,11.4814,60.0783,3.36236
-1.80627,547.034,11.6282,59.6373,3.66684
-0.570503,508.262,11.3444,57.6439,3.82502
0.577405,593.831,13.8637,69.8491,3.98102
-0.690333,516.348,11.4707,58.3378,3.80925
-0.0194349,503.889,11.4926,58.1587,3.89877
-1.61796,587.52,12.5824,64.4391,3.69032
-4.18545,576.558,11.1431,58.2035,3.38779
-1.77341,560.202,11.9237,61.1374,3.67092
-1.8182,556.477,11.8234,60.6435,3.66536
-2.27156,504.598,10.5297,54.1945,3.60974
-3.55251,546.317,10.8312,56.2966,3.45897
0.778023,508.905,11.9743,60.2408,4.00925
-1.44684,584.43,12.6013,64.4527,3.71185
-4.03922,576.297,11.204,58.4546,3.40405
-3.15104,582.835,11.7427,60.8458,3.50524
1.97418,592.091,14.5932,72.7798,4.18382
-3.80421,554.669,10.886,56.6922,3.43041
-4.52578,506.455,9.65459,50.5627,3.35037
1.84969,573.429,14.0654,70.2108,4.16513
-3.12096,510.852,10.3049,53.383,3.50874
1.85224,519.031,12.7324,63.5553,4.16551
-2.20342,587.276,12.2883,63.2127,3.61802
1.53295,565.432,13.7003,68.5453,4.11814
-3.8319,577.037,11.3124,58.9254,3.42729
-0.0702796,522.243,11.8876,60.1798,3.89188
0.00988544,589.208,13.454,68.0694,3.90275
-0.915265,500.089,11.0115,56.0968,3.7799
-3.23219,503.707,10.1156,52.4473,3.49582
-3.32671,555.17,11.1069,57.6291,3.48489
-4.39295,542.643,10.4001,54.4108,3.3649
-1.72106,586.69,12.5134,64.1357,3.67744
-4.42529,528.073,10.1077,52.894,3.36135
-0.632974,567,12.6244,64.1777,3.81678
-3.29812,546.518,10.9463,56.7835,3.48819
-3.31823,545.237,10.9119,56.6136,3.48587
-1.76792,559.784,11.9174,61.1025,3.67161
-0.156116,587.442,13.3268,67.5085,3.88028
1.83675,515.775,12.6449,63.1259,4.1632
-2.89609,565.351,11.5073,59.509,3.53508
0.405351,525.612,12.1889,61.489,3.95705
