Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-0.196871,524.933,32.9528,166.1,3.97663
-1.78485,589.577,35.0967,178.857,3.77862
-2.52903,545.245,31.6538,162.151,3.69102
-1.86427,564.241,33.499,170.809,3.76912
-1.58684,570.538,34.1901,173.997,3.80247
-4.83423,551.35,29.5916,154.08,3.43852
-0.168475,527.221,33.1277,166.949,3.98031
0.649545,562.629,36.3249,182.042,4.08883
1.36456,500.625,33.0936,165.046,4.18752
1.32561,539.312,35.6053,177.619,4.18205
-4.95792,551.918,29.4965,153.721,3.42572
1.59261,575.836,38.3521,190.977,4.21979
0.786978,533.584,34.6066,173.269,4.10751
0.447237,566.63,36.339,182.364,4.06157
-2.7212,588.392,33.9375,174.084,3.66891
1.01519,535.835,35.0155,175.045,4.13884
-3.22596,598.333,33.9256,174.641,3.61178
0.0937357,596.109,37.784,190.074,4.0146
-2.33515,510.688,29.8424,152.665,3.71354
1.83577,518.567,34.8149,173.079,4.25462
-0.249253,582.496,36.5026,184.06,3.96984
-1.73545,557.188,33.2238,169.255,3.78455
-0.590291,533.396,33.0481,167.032,3.9261
-3.73664,593.679,33.0821,170.915,3.55535
1.66516,531.929,35.5125,176.75,4.23013
-3.40582,532.855,30.0289,154.778,3.59175
-2.14463,589.717,34.6826,177.19,3.73588
-2.23175,570.091,33.43,170.895,3.72564
-1.08296,548.627,33.437,169.572,3.86421
-1.9855,527.569,31.1943,159.192,3.75469
1.19302,514.863,33.843,168.979,4.16351
-4.2778,511.716,27.993,145.179,3.49701
-3.83927,536.247,29.7775,153.953,3.54417
1.98825,591.218,39.8916,198.114,4.2767
-4.25066,598.068,32.7472,169.802,3.4999
-2.24488,586.083,34.3526,175.627,3.7241
-4.41615,599.619,32.6468,169.481,3.48233
-1.80627,547.034,32.5408,165.856,3.77606
-0.570503,508.262,31.5117,159.244,3.92861
0.577405,593.831,38.248,191.774,4.07907
-0.690333,516.348,31.8853,161.265,3.91341
-0.0194349,503.889,31.8189,160.19,3.99975
-1.61796,587.52,35.171,179.028,3.79871
-4.18545,576.558,31.6398,163.984,3.50686
-1.77341,560.202,33.361,169.998,3.77999
-1.8182,556.477,33.0892,168.666,3.77463
-2.27156,504.598,29.5498,151.101,3.72097
-3.55251,546.317,30.6344,158.063,3.57554
0.778023,508.905,32.9962,165.216,4.10629
-1.44684,584.43,35.1875,178.899,3.81947
-4.03922,576.297,31.7839,164.56,3.52255
-3.15104,582.835,33.131,170.461,3.62017
1.97418,592.091,39.9321,198.334,4.27465
-3.80421,554.669,30.8373,159.393,3.54799
-4.52578,506.455,27.4711,142.724,3.47076
1.84969,573.429,38.5158,191.46,4.25663
-3.12096,510.852,29.0688,149.529,3.62355
1.85224,519.031,34.8649,173.309,4.257
-2.20342,587.276,34.4707,176.18,3.72896
1.53295,565.432,37.5854,187.235,4.21131
-3.8319,577.037,32.0506,165.697,3.54497
-0.0702796,522.243,32.9222,165.802,3.9931
0.00988544,589.208,37.2427,187.458,4.00359
-0.915265,500.089,30.6502,155.259,3.88511
-3.23219,503.707,28.5542,146.997,3.61108
-3.32671,555.17,31.3707,161.604,3.60054
-4.39295,542.643,29.5682,153.474,3.48478
-1.72106,586.69,34.9999,178.284,3.78628
-4.42529,528.073,28.7424,149.222,3.48136
-0.632974,567,35.0802,177.354,3.92067
-3.29812,546.518,30.9118,159.208,3.60372
-3.31823,545.237,30.8183,158.749,3.60148
-1.76792,559.784,33.3422,169.896,3.78065
-0.156116,587.442,36.9269,186.08,3.98192
1.83675,515.775,34.6286,172.152,4.25476
-2.89609,565.351,32.416,166.484,3.64896
0.405351,525.612,33.6618,168.977,4.05596
-2.51049,536.027,31.1382,159.489,3.69317
0.938002,554.072,36.1151,180.636,4.1282
0.202496,597.981,38.0398,191.218,4.02896
-0.914488,596.605,36.5665,185.228,3.8852
-1.38633,577.965,34.8689,177.205,3.82685
-1.27794,508.363,30.7814,156.315,3.84014
0.93956,525.016,34.223,171.171,4.12842
0.981739,522.58,34.1117,170.565,4.13422
-4.19965,522.257,28.6461,148.483,3.50534
-1.57009,516.65,30.9782,157.633,3.8045
-0.989058,593.825,36.3055,184,3.87589
-1.03745,568.695,34.7129,175.987,3.86987
0.673538,551.266,35.6196,178.478,4.09208
0.495038,578.151,37.1366,186.306,4.06798
1.07092,560.728,36.7097,183.445,4.14654
-1.10547,556.382,33.8841,171.866,3.86142
-1.91383,549.84,32.5896,166.229,3.76321
0.0393886,539.429,34.1297,171.755,4.00746
-3.44248,506.534,28.5101,146.988,3.58769
1.59501,530.091,35.3082,175.817,4.22013
-0.847654,555.419,34.1183,172.746,3.89358
0.0558902,516.291,32.6837,164.459,4.00962
-3.90702,570.283,31.5944,163.426,3.53682
-4.54562,522.905,28.3441,147.28,3.46867
-0.898525,532.044,32.6269,165.253,3.8872
-1.54515,590.389,35.4292,180.251,3.80752
-3.7516,511.627,28.4954,147.233,3.55372
-1.78669,528.707,31.4713,160.384,3.7784
-1.45789,546.427,32.8872,167.217,3.81812
-4.96507,597.811,31.9414,166.47,3.42498
0.38835,515.346,32.9857,165.602,4.05368
-2.69705,515.674,29.7676,152.668,3.67168
-0.945225,580.783,35.5602,180.168,3.88136
-3.52066,564.493,31.6879,163.462,3.57905
1.40827,530.215,35.1002,175.001,4.19368
0.69125,516.895,33.4183,167.428,4.09449
1.92194,594.327,40.0143,198.812,4.26708
1.59518,575.669,38.3443,190.935,4.22015
-1.70095,536.238,32.0117,163.04,3.7887
0.612262,569.032,36.693,183.934,4.08378
-4.06898,543.611,29.9508,155.102,3.51935
-4.18431,515.191,28.2733,146.535,3.50698
0.979394,581.129,37.9306,189.663,4.1339
-2.29829,525.031,30.7187,157.107,3.71785
-0.928531,531.567,32.565,164.974,3.88345
0.0201879,577.031,36.4855,183.634,4.00494
-4.86336,599.373,32.1369,167.368,3.4355
-2.36918,521.053,30.4131,155.621,3.70957
-3.43118,526.516,29.6461,152.833,3.58894
-3.99181,570.959,31.5405,163.245,3.52766
-0.549833,597.071,37.0433,187.172,3.93125
1.46456,501.629,33.2694,165.811,4.20162
0.471177,508.647,32.6464,163.806,4.06478
-3.35925,522.061,29.4672,151.833,3.59692
-0.900909,588.134,36.0637,182.663,3.8869
-1.83877,541.479,32.1752,164.03,3.77217
-0.00489965,572.469,36.167,182.062,4.00165
-1.79859,591.02,35.1664,179.229,3.77698
0.642331,545.534,35.2128,176.478,4.08785
0.285681,569.942,36.3563,182.652,4.04
-0.688938,516.588,31.9016,161.346,3.91358
-3.41531,566.957,31.9405,164.642,3.5907
-1.69456,513.821,30.6801,156.251,3.78947
-1.06602,515.869,31.4583,159.519,3.86632
-1.07483,585.259,35.6793,180.933,3.86522
-0.0987999,524.853,33.0554,166.506,3.98938
-0.276417,564.388,35.3359,178.21,3.96633
-2.11268,528.524,31.1172,158.939,3.73964
-1.69279,507.13,30.2823,154.224,3.78968
-2.03827,503.445,29.715,151.698,3.74843
0.913655,546.445,35.5894,178.036,4.12486
-4.45224,500.046,27.1918,141.199,3.47851
-0.0614228,573.287,36.1507,182.05,3.99426
-4.30482,533.204,29.1416,151.164,3.49413
-3.42834,528.907,29.7837,153.539,3.58926
-0.60675,509.648,31.5594,159.525,3.924
-0.816585,537.107,33.0277,167.189,3.89748
-0.521143,593.419,36.8519,186.168,3.9349
-2.45077,573.188,33.3641,170.819,3.70009
-1.71533,559.958,33.4116,170.187,3.78697
-2.77483,564.293,32.4885,166.714,3.66277
1.46717,551.502,36.5802,182.308,4.20199
-4.1846,550.93,30.2344,156.699,3.50695
-2.45967,508.813,29.6081,151.598,3.69905
-4.36941,534.607,29.1538,151.297,3.48727
-1.249,578.312,35.0508,177.96,3.8437
-1.15483,559.187,33.9987,172.506,3.85531
-3.53967,501.679,28.1436,145.198,3.57696
0.781393,518.729,33.6369,168.42,4.10675
-4.24914,571.431,31.2903,162.246,3.50006
-1.88645,576.642,34.2097,174.46,3.76647
-3.17478,554.196,31.4777,161.981,3.61751
1.64577,557.505,37.1962,185.155,4.22736
-2.2018,506.44,29.7275,151.936,3.72915
-3.51278,510.732,28.6777,147.925,3.57992
-1.76312,566.376,33.7403,171.919,3.78123
0.417669,503.179,32.2382,161.817,4.0576
-3.65236,559.245,31.2529,161.368,3.56457
-0.120516,536.184,33.7447,170.003,3.98655
