Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-0.196871,524.933,29.5402,150.052,3.82905
-1.78485,589.577,31.3969,161.316,3.63593
-2.52903,545.245,28.2893,146.139,3.5505
-1.86427,564.241,29.9644,154.045,3.62667
-1.58684,570.538,30.5937,156.964,3.65919
-4.83423,551.35,26.3662,138.542,3.30424
-0.168475,527.221,29.6981,150.824,3.83265
0.649545,562.629,32.5991,164.596,3.93849
1.36456,500.625,29.7269,149.338,4.03475
1.32561,539.312,31.9815,160.708,4.02942
-4.95792,551.918,26.2771,138.202,3.29176
1.59261,575.836,34.4607,172.841,4.06622
0.786978,533.584,31.0626,156.685,3.95672
0.447237,566.63,32.6032,164.853,3.9119
-2.7212,588.392,30.3226,156.862,3.52893
1.01519,535.835,31.439,158.328,3.98727
-3.22596,598.333,30.2918,157.285,3.47321
0.0937357,596.109,33.884,171.76,3.8661
-2.33515,510.688,26.6771,137.616,3.57246
1.83577,518.567,31.2923,156.682,4.1002
-0.249253,582.496,32.7202,166.267,3.82244
-1.73545,557.188,29.7233,152.663,3.64172
-0.590291,533.396,29.6105,150.833,3.77977
-3.73664,593.679,29.5189,153.849,3.41818
1.66516,531.929,31.9122,159.977,4.07632
-3.40582,532.855,26.8062,139.37,3.45368
-2.14463,589.717,31.0117,159.754,3.59425
-2.23175,570.091,29.8883,154.065,3.58426
-1.08296,548.627,29.9396,153.05,3.71941
-1.9855,527.569,27.8985,143.55,3.61259
1.19302,514.863,30.3932,152.87,4.01133
-4.2778,511.716,24.9601,130.612,3.36128
-3.83927,536.247,26.5666,138.567,3.40728
1.98825,591.218,35.8625,179.373,4.12174
-4.25066,598.068,29.2002,152.769,3.3641
-2.24488,586.083,30.7126,158.329,3.58276
-4.41615,599.619,29.1044,152.454,3.34696
-1.80627,547.034,29.1095,149.587,3.63343
-0.570503,508.262,28.2346,143.804,3.78223
0.577405,593.831,34.3217,173.382,3.92898
-0.690333,516.348,28.5648,145.611,3.76739
-0.0194349,503.889,28.5304,144.739,3.85161
-1.61796,587.52,31.4701,161.497,3.65552
-4.18545,576.558,28.2153,147.544,3.37089
-1.77341,560.202,29.8445,153.328,3.63727
-1.8182,556.477,29.5997,152.119,3.63204
-2.27156,504.598,26.4179,136.215,3.57971
-3.55251,546.317,27.3414,142.307,3.43787
0.778023,508.905,29.6168,149.402,3.95553
-1.44684,584.43,31.492,161.41,3.67578
-4.03922,576.297,28.3492,148.084,3.38619
