Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
1.40549,542.559,30,14.8033,69.2689,6.018
0.207972,595.463,30,15.5194,73.1951,5.71445
-0.074222,509.556,30,13.1372,62.0758,5.64647
1.47675,568.275,30,15.5471,72.7153,6.03688
-2.95939,524.371,30,12.0851,58.2312,5.01898
0.814263,559.642,30,14.9287,70.1274,5.86499
1.89881,517.554,30,14.3885,67.1115,6.15065
-4.37199,564.88,30,12.3129,59.9139,4.75063
-1.55643,559.581,30,13.6231,65.0161,5.3096
-1.84417,520.209,30,12.5236,59.8854,5.24788
-2.78588,536.781,30,12.4556,59.9449,5.05355
1.08777,549.821,30,14.8208,69.4953,5.93499
-0.644597,587.479,30,14.8167,70.2794,5.51294
-4.46257,505.045,30,10.9691,53.4093,4.73418
-2.33878,548.413,30,12.9502,62.1346,5.14439
-4.01062,527.469,30,11.6632,56.6093,4.81712
1.83333,566.111,30,15.6994,73.2568,6.13278
-2.28198,575.098,30,13.6105,65.2774,5.15611
-1.39828,529.73,30,12.9759,61.8609,5.34401
-0.533026,591.892,30,14.9925,71.0598,5.53866
-2.30418,529.118,30,12.5115,60.0155,5.15152
-2.83642,552.759,30,12.801,61.6284,5.04344
-3.15841,501.598,30,11.4702,55.3444,4.97977
-3.22275,523.563,30,11.9422,57.6475,4.96719
-4.159,598.598,30,13.1584,63.9331,4.78965
-0.216649,505.612,30,12.9642,61.3167,5.61265
1.06954,591.877,30,15.9434,74.768,5.93028
1.83759,519.323,30,14.4042,67.2113,6.13394
0.240963,511.829,30,13.3566,62.9806,5.72248
0.0752781,519.225,30,13.4636,63.5552,5.68232
-2.33841,528.394,30,12.4777,59.8672,5.14446
0.720129,569,30,15.1238,71.0877,5.8412
-1.36055,530.728,30,13.0194,62.0525,5.35227
1.94601,523.542,30,14.5811,67.9888,6.16359
-1.74616,515.77,30,12.4642,59.5618,5.26878
1.33343,599.13,30,16.302,76.3176,5.99901
1.86711,595.562,30,16.5373,77.1499,6.14199
-0.310944,578.427,30,14.7774,69.9368,5.59043
-1.14276,517.386,30,12.7998,60.9162,5.40036
0.412926,592.572,30,15.566,73.3152,5.76464
-4.84376,504.55,30,10.7936,52.6958,4.66592
-0.952434,524.527,30,13.0725,62.1342,5.44293
-4.36976,598.89,30,13.0553,63.5258,4.75103
0.653849,501.986,30,13.3088,62.5839,5.82455
-2.27797,553.316,30,13.0971,62.8131,5.15694
-0.252498,542.336,30,13.8866,65.6952,5.60419
-4.63132,534.373,30,11.5286,56.1999,4.70377
-1.82379,509.58,30,12.2775,58.7003,5.25222
1.49925,555.254,30,15.2039,71.0997,6.04286
1.64618,526.765,30,14.5047,67.7647,6.08214
-4.11711,511.461,30,11.2616,54.7011,4.79738
0.894043,565.395,30,15.1282,71.0273,5.88527
1.23458,537.076,30,14.5586,68.2,5.97312
-3.81871,570.805,30,12.7175,61.6441,4.85303
