Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
1.40549,542.559,30,15.476,72.0745,6.22426
0.207972,595.463,30,16.2152,76.086,5.91748
-0.074222,509.556,30,13.7242,64.5123,5.84877
1.47675,568.275,30,16.2541,75.6647,6.24334
-2.95939,524.371,30,12.6059,60.3625,5.21443
0.814263,559.642,30,15.6027,72.9332,6.06963
1.89881,517.554,30,15.0458,69.8566,6.35832
-4.37199,564.88,30,12.8331,62.0228,4.94307
-1.55643,559.581,30,14.2211,67.4818,5.50825
-1.84417,520.209,30,13.0713,62.1406,5.44586
-2.78588,536.781,30,12.9936,62.149,5.24939
1.08777,549.821,30,15.4919,72.2918,6.14037
-0.644597,587.479,30,15.4744,73.0026,5.7138
-4.46257,505.045,30,11.432,55.2843,4.92643
-2.33878,548.413,30,13.513,64.4457,5.34123
-4.01062,527.469,30,12.1585,58.6225,5.01031
1.83333,566.111,30,16.416,76.2494,6.34025
-2.28198,575.098,30,14.2024,67.7089,5.35308
-1.39828,529.73,30,13.5466,64.2159,5.54304
-0.533026,591.892,30,15.6588,73.8203,5.7398
-2.30418,529.118,30,13.0554,62.2496,5.34844
-2.83642,552.759,30,13.3535,63.8913,5.23916
-3.15841,501.598,30,11.9632,57.3593,5.17478
-3.22275,523.563,30,12.455,59.7427,5.16206
-4.159,598.598,30,13.7161,66.1972,4.98253
-0.216649,505.612,30,13.5426,63.7158,5.81459
1.06954,591.877,30,16.6652,77.7755,6.13562
1.83759,519.323,30,15.0617,69.9571,6.34143
0.240963,511.829,30,13.9557,65.4698,5.9256
0.0752781,519.225,30,14.0663,66.058,5.88501
-2.33841,528.394,30,13.0199,62.0939,5.3413
0.720129,569,30,15.8058,73.9264,6.04559
-1.36055,530.728,30,13.5922,64.4169,5.55139
1.94601,523.542,30,15.2475,70.7724,6.37139
-1.74616,515.77,30,13.01,61.8102,5.46698
1.33343,599.13,30,17.0422,79.4042,6.20507
1.86711,595.562,30,17.2925,80.3036,6.34956
-0.310944,578.427,30,15.436,72.6674,5.79213
-1.14276,517.386,30,13.3645,63.2494,5.6
0.412926,592.572,30,16.2656,76.2237,5.96821
-4.84376,504.55,30,11.2466,54.5252,4.8574
-0.952434,524.527,30,13.6506,64.5248,5.64304
-4.36976,598.89,30,13.607,65.762,4.94348
0.653849,501.986,30,13.9085,65.0794,6.02875
-2.27797,553.316,30,13.6666,65.153,5.35391
-0.252498,542.336,30,14.5059,68.2636,5.80603
-4.63132,534.373,30,12.0139,58.1632,4.89568
-1.82379,509.58,30,12.8145,60.912,5.45024
1.49925,555.254,30,15.8955,73.9848,6.24938
1.64618,526.765,30,15.1655,70.5227,6.28908
-4.11711,511.461,30,11.7392,56.6406,4.99035
0.894043,565.395,30,15.8118,73.8739,6.09012
1.23458,537.076,30,15.2189,70.9526,6.1789
-3.81871,570.805,30,13.2591,63.8483,5.04662
-3.47112,579.11,30,13.6405,65.5352,5.11345
0.56176,508.274,30,14.0325,65.6977,6.00549
-3.67904,511.687,30,11.9526,57.504,5.0733
-2.34409,556.165,30,13.7011,65.3451,5.34012
1.91897,528.805,30,15.3848,71.4215,6.3639
-3.2772,591.021,30,14.0293,67.3177,5.15134
1.79335,566.871,30,16.4128,76.2533,6.32926
-3.50435,537.965,30,12.6545,60.8114,5.107
-3.7898,573.15,30,13.329,64.1728,5.05212
-4.15708,506.03,30,11.5959,55.964,4.98289
-0.354153,517.781,30,13.7943,64.9566,5.78189
-3.67835,593.887,30,13.8731,66.7432,5.07344
1.9098,503.137,30,14.6328,67.9347,6.36136
0.853261,568.574,30,15.8756,74.1911,6.07963
-2.84541,508.283,30,12.2747,58.733,5.23735
1.33049,503.297,30,14.3146,66.6968,6.20429
-4.07109,582.087,30,13.385,64.5616,4.99896
-3.64626,582.317,30,13.6203,65.5133,5.0796
-4.91454,559.728,30,12.4409,60.3437,4.84474
0.643494,556.356,30,15.4087,72.1039,6.02613
-3.34212,535.297,30,12.6737,60.8387,5.13861
-2.06787,573.484,30,14.2831,67.9995,5.39813
0.0859648,595.458,30,16.1383,75.7832,5.88761
0.592095,598.13,30,16.5327,77.3885,6.01314
-3.89195,518.866,30,12.0173,57.8963,5.03271
-3.22879,567.487,30,13.4967,64.7417,5.16087
-4.03796,550.681,30,12.6797,61.1461,5.00518
-3.90938,500.472,30,11.5832,55.8113,5.02941
-0.0345385,556.703,30,15.0173,70.5728,5.85835
-3.60046,522.424,30,12.2418,58.8651,5.08842
-4.08188,578.637,30,13.2999,64.1556,4.99694
-4.46021,526.812,30,11.9259,57.6716,4.92687
-4.29171,528.021,30,12.0346,58.1325,4.95788
-3.36945,559.438,30,13.2308,63.5244,5.13326
-4.61395,581.959,30,13.0929,63.3797,4.89883
-1.27259,579.744,30,14.899,70.5704,5.57094
-2.74834,555.352,30,13.4633,64.3795,5.257
-1.3121,561.452,30,14.4065,68.2548,5.56214
-0.70481,590.412,30,15.515,73.2223,5.69985
-4.29736,535.497,30,12.2022,58.9444,4.95684
-0.776399,580.074,30,15.2007,71.7715,5.68333
-0.218062,518.088,30,13.876,65.2851,5.81425
-2.18031,549.208,30,13.6178,64.879,5.3744
-1.33738,512.18,30,13.1292,62.2132,5.55653
-2.54934,591.518,30,14.4538,69.027,5.29766
-2.08527,559.063,30,13.9143,66.2514,5.39445
-4.53749,516.25,30,11.6504,56.3685,4.91274
-1.85102,551.3,30,13.8488,65.8396,5.44439
-0.381196,539.286,30,14.352,67.5945,5.77549
0.756044,569.546,30,15.843,74.0838,6.05474
-1.96703,511.891,30,12.8,60.8991,5.41956
-4.5485,574.46,30,12.9583,62.7011,4.91074
-2.03432,529.86,30,13.2141,62.8967,5.40525
-3.17081,538.697,30,12.8417,61.5762,5.17232
-2.73429,598.351,30,14.5138,69.3966,5.25985
0.969369,556.331,30,15.6037,72.8675,6.10958
-1.3448,533.444,30,13.6703,64.7801,5.55488
-3.70148,513.925,30,11.9941,57.7121,5.069
1.92143,558.178,30,16.2409,75.3947,6.36458
-3.30999,581.631,30,13.7883,66.1758,5.1449
-3.60669,577.278,30,13.5238,65.0324,5.08722
-1.72433,508.402,30,12.8352,60.9711,5.47171
-4.14056,515.709,30,11.8256,57.0661,4.98597
-3.39739,559.334,30,13.2136,63.4534,5.1278
0.66993,542.006,30,15.0267,70.3046,6.03283
-2.81467,564.813,30,13.6566,65.332,5.24356
1.32305,539.881,30,15.3507,71.5277,6.20232
0.657607,535.51,30,14.8395,69.4341,6.02971
-3.01034,517.053,30,12.4048,59.4192,5.20423
-3.65045,532.556,30,12.4543,59.9065,5.07879
-1.87668,590.474,30,14.8178,70.4582,5.43888
-1.62535,531.833,30,13.4792,63.9899,5.4932
-0.328938,578.05,30,15.4151,72.5773,5.78786
0.764834,562.463,30,15.6513,73.1833,6.05699
-4.82277,514.536,30,11.4789,55.6437,4.86116
-0.78678,575.928,30,15.0859,71.2343,5.68094
0.982759,517.946,30,14.5346,67.8693,6.11305
1.48281,509.916,30,14.5883,67.9077,6.24497
-1.85971,573.667,30,14.4057,68.4912,5.44252
-3.60158,522.176,30,12.2354,58.835,5.0882
-1.79457,592.448,30,14.9156,70.8859,5.45653
-1.60918,576.835,30,14.6291,69.4416,5.49673
-4.44099,510.701,30,11.5701,55.9441,4.93039
-0.467339,508.046,30,13.4752,63.4996,5.7552
0.267978,533.252,30,14.5551,68.2702,5.93226
-1.95121,506.932,30,12.6839,60.3407,5.42294
1.742,508.364,30,14.6898,68.2701,6.31519
1.51901,523.224,30,14.9899,69.7615,6.2547
1.12028,521.193,30,14.7038,68.6,6.14887
1.92255,551.935,30,16.0599,74.5541,6.36489
1.97661,585.122,30,17.061,79.1748,6.37989
0.554947,520.959,30,14.3789,67.3224,6.00378
-4.87408,514.219,30,11.4481,55.5132,4.85197
-2.85448,503.745,30,12.1607,58.191,5.23552
-3.84408,586.752,30,13.6157,65.5763,5.0418
-0.0312497,547.982,30,14.7839,69.4747,5.85915
-4.01172,588.475,30,13.5642,65.4003,5.01011
0.346622,530.464,30,14.5233,68.0875,5.95172
-4.52527,512.364,30,11.5684,55.9672,4.91497
1.60322,519.389,30,14.9284,69.4389,6.27743
