Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
1.40549,542.559,30,38.9517,182.075,6.06258
0.207972,595.463,30,41.0938,193.554,5.7661
-0.074222,509.556,30,34.8378,164.384,5.69971
1.47675,568.275,30,40.8936,191.066,6.08102
-2.95939,524.371,30,32.5485,156.485,5.08696
0.814263,559.642,30,39.4036,184.878,5.91313
1.89881,517.554,30,37.763,175.97,6.19216
-4.37199,564.88,30,33.4197,162.183,4.82495
-1.55643,559.581,30,36.4135,173.469,5.37074
-1.84417,520.209,30,33.5264,160.014,5.31047
-2.78588,536.781,30,33.5147,160.946,5.12072
1.08777,549.821,30,39.0626,182.961,5.9815
-0.644597,587.479,30,39.4111,186.646,5.5693
-4.46257,505.045,30,29.7874,144.644,4.80889
-2.33878,548.413,30,34.7612,166.444,5.20941
-4.01062,527.469,30,31.5933,152.952,4.88987
1.83333,566.111,30,41.2173,192.146,6.1747
-2.28198,575.098,30,36.5224,174.812,5.22086
-1.39828,529.73,30,34.654,164.918,5.40434
-0.533026,591.892,30,39.8548,188.612,5.59442
-2.30418,529.118,30,33.5773,160.739,5.21638
-2.83642,552.759,30,34.4534,165.509,5.11085
-3.15841,501.598,30,30.926,148.879,5.04867
-3.22275,523.563,30,32.2099,155.126,5.0364
-4.159,598.598,30,35.6728,172.872,4.86305
-0.216649,505.612,30,34.4051,162.491,5.66668
1.06954,591.877,30,42.0253,196.86,5.9769
1.83759,519.323,30,37.8161,176.286,6.17583
0.240963,511.829,30,35.3607,166.516,5.77394
0.0752781,519.225,30,35.6753,168.175,5.73472
-2.33841,528.394,30,33.4927,160.37,5.20949
0.720129,569,30,39.9382,187.498,5.8899
-1.36055,530.728,30,34.7631,165.397,5.41241
1.94601,523.542,30,38.259,178.229,6.2048
-1.74616,515.77,30,33.3498,159.07,5.33088
1.33343,599.13,30,42.9113,200.675,6.04404
1.86711,595.562,30,43.4097,202.323,6.1837
-0.310944,578.427,30,39.2369,185.423,5.64499
-1.14276,517.386,30,34.1369,162.188,5.45936
0.412926,592.572,30,41.1726,193.672,5.81512
-4.84376,504.55,30,29.3727,142.994,4.74224
-0.952434,524.527,30,34.8287,165.272,5.50094
-4.36976,598.89,30,35.4345,171.959,4.82534
0.653849,501.986,30,35.1574,165.124,5.87363
-2.27797,553.316,30,35.1438,168.209,5.22167
-0.252498,542.336,30,36.8602,174.126,5.65842
-4.63132,534.373,30,31.3359,152.334,4.7792
-1.82379,509.58,30,32.8638,156.831,5.3147
1.49925,555.254,30,39.9861,186.8,6.08686
1.64618,526.765,30,38.1179,177.907,6.12524
-4.11711,511.461,30,30.5236,147.878,4.8706
0.894043,565.395,30,39.9135,187.176,5.93294
1.23458,537.076,30,38.342,179.419,6.01874
-3.81871,570.805,30,34.413,166.39,4.92493
-3.47112,579.11,30,35.3285,170.424,4.98945
0.56176,508.274,30,35.4897,166.782,5.85115
-3.67904,511.687,30,30.9957,149.729,4.95069
-2.34409,556.165,30,35.2463,168.772,5.20835
1.91897,528.805,30,38.6093,179.891,6.19755
-3.2772,591.021,30,36.293,174.853,5.02604
1.79335,566.871,30,41.2186,192.201,6.16407
-3.50435,537.965,30,32.7814,158.172,4.98322
-3.7898,573.15,30,34.5884,167.207,4.93024
-4.15708,506.03,30,30.1583,146.147,4.86339
-0.354153,517.781,30,35.0727,165.79,5.63509
-3.67835,593.887,30,35.9759,173.785,4.95082
1.9098,503.137,30,36.7243,171.118,6.1951
0.853261,568.574,30,40.084,188.024,5.9228
-2.84541,508.283,30,31.6717,152.155,5.1091
1.33049,503.297,30,36.044,168.563,6.04328
-4.07109,582.087,30,34.793,168.51,4.87891
-3.64626,582.317,30,35.3135,170.549,4.95677
-4.91454,559.728,30,32.5059,158.322,4.73003
0.643494,556.356,30,38.952,182.958,5.8711
-3.34212,535.297,30,32.7989,158.087,5.01375
-2.06787,573.484,30,36.6832,175.336,5.26437
0.0859648,595.458,30,40.9277,192.922,5.73724
0.592095,598.13,30,41.8057,196.426,5.85854
-3.89195,518.866,30,31.2038,150.947,4.9115
-3.22879,567.487,30,34.905,168.112,5.03525
-4.03796,550.681,30,32.9529,159.563,4.88491
-3.90938,500.472,30,30.0798,145.527,4.90831
-0.0345385,556.703,30,38.1114,179.785,5.70897
-3.60046,522.424,30,31.7307,153.2,4.96528
-4.08188,578.637,30,34.574,167.461,4.87696
-4.46021,526.812,30,31.0737,150.888,4.80931
-4.29171,528.021,30,31.3247,151.935,4.83925
-3.36945,559.438,30,34.2463,165.093,5.00858
-4.61395,581.959,30,34.1466,165.979,4.78225
-1.27259,579.744,30,38.0857,181.101,5.43129
-2.74834,555.352,30,34.7182,166.685,5.12807
-1.3121,561.452,30,36.8352,175.2,5.4228
-0.70481,590.412,30,39.5285,187.274,5.55582
-4.29736,535.497,30,31.7621,154.063,4.83824
-0.776399,580.074,30,38.7438,183.641,5.53987
-0.218062,518.088,30,35.2525,166.494,5.66635
-2.18031,549.208,30,34.9978,167.403,5.24145
-1.33738,512.18,30,33.5743,159.716,5.41737
-2.54934,591.518,30,37.2283,178.503,5.16734
-2.08527,559.063,30,35.7398,170.847,5.26082
-4.53749,516.25,30,30.3704,147.549,4.79567
-1.85102,551.3,30,35.522,169.546,5.30905
-0.381196,539.286,30,36.4965,172.55,5.62891
0.756044,569.546,30,40.0239,187.858,5.89874
-1.96703,511.891,30,32.8545,156.933,5.28507
-4.5485,574.46,30,33.7821,164.136,4.79374
-2.03432,529.86,30,33.931,162.146,5.27125
-3.17081,538.697,30,33.1994,159.836,5.0463
-2.73429,598.351,30,37.4241,179.659,5.13083
0.969369,556.331,30,39.3712,184.545,5.95174
-1.3448,533.444,30,34.9594,166.314,5.41578
-3.70148,513.925,30,31.1076,150.291,4.94654
1.92143,558.178,30,40.7573,189.896,6.19821
-3.30999,581.631,30,35.6767,171.921,5.01983
-3.60669,577.278,30,35.055,169.257,4.96412
-1.72433,508.402,30,32.8974,156.89,5.33544
-4.14056,515.709,30,30.7525,149.01,4.86637
-3.39739,559.334,30,34.2075,164.936,5.00331
0.66993,542.006,30,37.9805,178.365,5.87757
